Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined
NCX54,9.195,Non-Edible,0.048157338,Household,106.1622,OUT045,Small,Tier 2,Supermarket Type1,7.658342723,Non-Consumable
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,6.682061729,Drinks
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,8.499288861,Food
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,6.794779172,Food
FDM20,10,Low Fat,0.038748011,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,8.066580246,Food
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Small,Tier 2,Supermarket Type1,6.969430455,Food
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,6.185596091,Food
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,5.002654196,Food
FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,7.841632852,Food
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Small,Tier 3,Grocery Store,5.222659116,Food
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,8.490164464,Food
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Small,Tier 2,Supermarket Type1,7.020676739,Food
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Small,Tier 2,Supermarket Type1,7.742113959,Drinks
NCI17,8.645,Non-Edible,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,7.614983357,Non-Consumable
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,8.142216938,Food
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,6.397296255,Food
FDH35,18.25,Low Fat,0.068386192,Starchy Foods,164.7526,OUT045,Small,Tier 2,Supermarket Type1,8.43504404,Food
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Small,Tier 2,Supermarket Type1,7.734570043,Food
NCZ18,7.825,Non-Edible,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,8.627255046,Non-Consumable
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,7.736897315,Food
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,7.096800349,Food
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,6.467951489,Food
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,7.370818001,Food
FDV25,5.905,Low Fat,0.054276717,Canned,222.5456,OUT045,Small,Tier 2,Supermarket Type1,8.576611326,Food
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,7.437671512,Food
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,7.264362861,Food
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,8.454229962,Food
NCL18,18.85,Non-Edible,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,6.370313227,Non-Consumable
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,8.036888755,Food
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,7.81619092,Food
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,7.907454371,Food
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,8.097646299,Food
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,6.496481131,Food
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,7.329323631,Food
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Small,Tier 3,Grocery Store,5.914904725,Food
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,6.53876857,Drinks
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Small,Tier 2,Supermarket Type1,7.23167405,Drinks
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,6.435385653,Food
NCR17,9.8,Non-Edible,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,7.15096903,Non-Consumable
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,6.191064306,Food
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,7.116986501,Food
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,8.231139659,Food
NCP18,12.15,Non-Edible,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,8.381294015,Non-Consumable
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,7.181811844,Food
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,7.499229359,Food
FDD10,20.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,7.957159956,Food
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,8.268029432,Food
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,6.505481174,Drinks
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,8.066789188,Food
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,7.718125694,Food
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,7.492944685,Food
FDG12,6.635,Regular,0.006336295,Baking Goods,121.3098,OUT045,Small,Tier 2,Supermarket Type1,7.836648584,Food
DRE60,9.395,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,6.522263372,Drinks
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,6.701070535,Drinks
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,6.551208898,Food
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,7.913317339,Food
FDW39,6.69,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,5.178615616,Food
FDX34,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,8.318335633,Food
FDV11,9.1,Regular,0.100047421,Breads,173.2054,OUT045,Small,Tier 2,Supermarket Type1,8.056077055,Food
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,8.690013925,Food
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,8.485639571,Food
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,7.84110936,Food
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Small,Tier 2,Supermarket Type1,7.845289639,Drinks
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,7.041277797,Food
NCF19,13,Non-Edible,0.035307322,Household,47.5034,OUT017,Small,Tier 2,Supermarket Type1,6.524219359,Non-Consumable
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Small,Tier 2,Supermarket Type1,7.64345962,Drinks
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,Small,Tier 3,Grocery Store,5.23337343,Food
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,8.01864127,Food
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Small,Tier 2,Supermarket Type1,6.766043777,Food
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,6.768342626,Food
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,7.037191397,Drinks
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Small,Tier 2,Supermarket Type1,6.834243498,Food
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,6.637704851,Drinks
NCP30,20.5,Non-Edible,0.032835147,Household,40.2822,OUT045,Small,Tier 2,Supermarket Type1,6.562556517,Non-Consumable
FDY25,12,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,8.983351236,Food
NCH54,13.5,Non-Edible,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,7.271792654,Non-Consumable
NCR53,12.15,Non-Edible,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,8.850410479,Non-Consumable
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Small,Tier 3,Grocery Store,4.626947333,Food
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,6.859713535,Food
NCO26,7.235,Non-Edible,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,7.58601032,Non-Consumable
FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,8.568548292,Food
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Small,Tier 2,Supermarket Type1,7.181811844,Food
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,6.284699673,Food
NCN07,18.5,Non-Edible,0.056816465,Others,132.1284,OUT010,Small,Tier 3,Grocery Store,5.578433892,Non-Consumable
NCC31,8.02,Non-Edible,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,7.246492663,Non-Consumable
NCX54,9.195,Non-Edible,0.048331717,Household,105.1622,OUT017,Small,Tier 2,Supermarket Type1,7.435317187,Non-Consumable
NCO55,12.8,Non-Edible,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,7.670837021,Non-Consumable
NCC30,16.6,Non-Edible,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,7.892644778,Non-Consumable
FDI16,14,Regular,0.15402922,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,6.809577792,Food
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,8.90536374,Food
FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,8.748643141,Food
NCB06,17.6,Non-Edible,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,7.37708368,Non-Consumable
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,6.273463627,Food
NCO26,7.235,Non-Edible,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,7.58601032,Non-Consumable
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Small,Tier 2,Supermarket Type1,6.942787618,Drinks
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,7.492944685,Food
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,7.926384669,Food
DRK12,9.5,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,6.802205857,Drinks
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,8.06155248,Food
NCI18,18.35,Non-Edible,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,8.186184212,Non-Consumable
FDB36,5.465,Regular,0.048544854,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,5.57338977,Food
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Small,Tier 2,Supermarket Type1,7.555476236,Food
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Small,Tier 2,Supermarket Type1,7.440020307,Drinks
FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,7.812964679,Food
FDM22,14,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,7.1948872,Food
FDR07,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,7.501070301,Food
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,8.106720768,Food
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,7.87077363,Drinks
FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,7.926865381,Food
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Small,Tier 2,Supermarket Type1,8.589700515,Drinks
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Small,Tier 2,Supermarket Type1,7.95154919,Food
FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,7.46397353,Food
NCB30,14.6,Non-Edible,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,8.622712031,Non-Consumable
FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,6.430032332,Food
NCM43,14.5,Non-Edible,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,7.659913074,Non-Consumable
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,8.249058446,Food
FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,7.216143541,Food
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,8.28664721,Food
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,Small,Tier 3,Grocery Store,5.848027685,Food
FDR47,17.85,Low Fat,0.087609529,Breads,196.5794,OUT010,Small,Tier 3,Grocery Store,6.373726192,Food
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,Small,Tier 2,Supermarket Type1,6.919371944,Food
NCU05,11.8,Non-Edible,0.098312421,Health and Hygiene,81.4618,OUT010,Small,Tier 3,Grocery Store,5.088359007,Non-Consumable
DRY23,9.395,Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,3.775313998,Drinks
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,Small,Tier 2,Supermarket Type1,8.010275787,Food
FDQ28,14,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,8.703699048,Food
FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,Small,Tier 2,Supermarket Type1,6.897415002,Food
NCO17,10,Non-Edible,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,5.483501489,Non-Consumable
FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,7.226362598,Food
FDT12,6.215,Regular,0.049381406,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,8.463967547,Food
FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,6.920687299,Food
FDO08,11.1,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,6.490435784,Food
NCW29,14,Non-Edible,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,6.659275971,Non-Consumable
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Small,Tier 2,Supermarket Type1,7.757033178,Food
NCB19,6.525,Non-Edible,0.090436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,7.711590698,Non-Consumable
FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,7.416280338,Food
FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,8.465230705,Food
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Small,Tier 2,Supermarket Type1,8.047381352,Food
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,6.149304698,Food
NCX06,17.6,Non-Edible,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,8.531437813,Non-Consumable
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,6.294582373,Food
FDB41,19,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,6.9014432,Food
NCN55,14.6,Non-Edible,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,8.701154237,Non-Consumable
FDE40,15.6,Regular,0.098663652,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,7.652668952,Food
FDX49,4.615,Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,8.586847977,Food
NCM53,18.75,Non-Edible,0.052146456,Health and Hygiene,104.628,OUT045,Small,Tier 2,Supermarket Type1,6.615658141,Non-Consumable
FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,8.094603084,Food
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,Small,Tier 2,Supermarket Type1,7.440020307,Food
FDI24,10.3,Low Fat,0.078362484,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,8.810699172,Food
FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,8.323843949,Food
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,Small,Tier 3,Grocery Store,5.794760862,Food
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,6.661833513,Food
DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,Small,Tier 2,Supermarket Type1,8.197430639,Drinks
FDS45,5.175,Regular,0.051643608,Snack Foods,107.3622,OUT019,Small,Tier 1,Grocery Store,5.763894338,Food
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,Small,Tier 3,Grocery Store,5.449743194,Food
DRK12,9.5,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,Small,Tier 2,Supermarket Type1,4.899033118,Drinks
DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,Small,Tier 2,Supermarket Type1,8.639701861,Drinks
